SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																																	
Tool Proficiency ~ Glassblower's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Glassblowers_Tools|0	BONUS:VAR|ProfBonus_Glassblowers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Glassblower's Tools|ProfBonus_Glassblowers_Tools																														
Tool Proficiency ~ Jeweler's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Jewelers_Tools|0	BONUS:VAR|ProfBonus_Jewelers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Jeweler's Tools|ProfBonus_Jewelers_Tools																														
Tool Proficiency ~ Leatherworker's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Leatherworkers_Tools|0	BONUS:VAR|ProfBonus_Leatherworkers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Leatherworker's Tools|ProfBonus_Leatherworkers_Tools																														
Tool Proficiency ~ Mason's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Masons_Tools|0	BONUS:VAR|ProfBonus_Masons_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Mason's Tools|ProfBonus_Masons_Tools																														
Tool Proficiency ~ Painter's Supplies	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Painters_Supplies|0	BONUS:VAR|ProfBonus_Painters_Supplies|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Painter's Supplies|ProfBonus_Painters_Supplies																														
Tool Proficiency ~ Potter's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Potters_Tools|0	BONUS:VAR|ProfBonus_Potters_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Potter's Tools|ProfBonus_Potters_Tools																														
Tool Proficiency ~ Smith's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Smiths_Tools|0	BONUS:VAR|ProfBonus_Smiths_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Smith's Tools|ProfBonus_Smiths_Tools																														
Tool Proficiency ~ Tinker's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Tinkers_Tools|0	BONUS:VAR|ProfBonus_Tinkers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Tinker's Tools|ProfBonus_Tinkers_Tools																														
Tool Proficiency ~ Weaver's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Weavers_Tools|0	BONUS:VAR|ProfBonus_Weavers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Weaver's Tools|ProfBonus_Weavers_Tools																														
Tool Proficiency ~ Woodcarver's Tools	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Artisan's Tools		DEFINE:ProfBonus_Woodcarvers_Tools|0	BONUS:VAR|ProfBonus_Woodcarvers_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Woodcarver's Tools|ProfBonus_Woodcarvers_Tools																														
Tool Proficiency ~ Disguise Kit	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Disguise_Kit|0	BONUS:VAR|ProfBonus_Disguise_Kit|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Disguise Kit|ProfBonus_Disguise_Kit																														
Tool Proficiency ~ Forgery Kit	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Forgery_Kit|0	BONUS:VAR|ProfBonus_Forgery_Kit|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Forgery Kit|ProfBonus_Forgery_Kit																														
Tool Proficiency ~ Dice Set	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Gaming Set		DEFINE:ProfBonus_Dice_Set|0	BONUS:VAR|ProfBonus_Dice_Set|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Dice Set|ProfBonus_Dice_Set																														
Tool Proficiency ~ Dragonchess Set	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Gaming Set		DEFINE:ProfBonus_Dragonchess_Set|0	BONUS:VAR|ProfBonus_Dragonchess_Set|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Dragonchess Set|ProfBonus_Dragonchess_Set																														
Tool Proficiency ~ Playing Card Set	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Gaming Set		DEFINE:ProfBonus_Playing_Card_Set|0	BONUS:VAR|ProfBonus_Playing_Card_Set|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Playing Card Set|ProfBonus_Playing_Card_Set																														
Tool Proficiency ~ Three-Dragon Ante Set	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Gaming Set		DEFINE:ProfBonus_Three_Dragon_Ante_Set|0	BONUS:VAR|ProfBonus_Three_Dragon_Ante_Set|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Three-Dragon Ante Set|ProfBonus_Three_Dragon_Ante_Set																														
Tool Proficiency ~ Bagpipes	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Bagpipes|0	BONUS:VAR|ProfBonus_Bagpipes|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Bagpipes|ProfBonus_Bagpipes																														
Tool Proficiency ~ Drum	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Drum|0	BONUS:VAR|ProfBonus_Drum|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Drum|ProfBonus_Drum																														
Tool Proficiency ~ Dulcimer	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Dulcimer|0	BONUS:VAR|ProfBonus_Dulcimer|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Dulcimer|ProfBonus_Dulcimer																														
Tool Proficiency ~ Flute	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Flute|0	BONUS:VAR|ProfBonus_Flute|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Flute|ProfBonus_Flute																														
Tool Proficiency ~ Lute	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Lute|0	BONUS:VAR|ProfBonus_Lute|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Lute|ProfBonus_Lute																														
Tool Proficiency ~ Lyre	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Lyre|0	BONUS:VAR|ProfBonus_Lyre|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Lyre|ProfBonus_Lyre																														
Tool Proficiency ~ Horn	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Horn|0	BONUS:VAR|ProfBonus_Horn|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Horn|ProfBonus_Horn																														
Tool Proficiency ~ Pan flute	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Pan_flute|0	BONUS:VAR|ProfBonus_Pan_flute|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Pan flute|ProfBonus_Pan_flute																														
Tool Proficiency ~ Shawm	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Shawm|0	BONUS:VAR|ProfBonus_Shawm|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Shawm|ProfBonus_Shawm																														
Tool Proficiency ~ Viol	CATEGORY:Internal	TYPE:Tool Proficiency.Tool Proficiency Musical Instrument		DEFINE:ProfBonus_Viol|0	BONUS:VAR|ProfBonus_Viol|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Viol|ProfBonus_Viol																														
Tool Proficiency ~ Herbalism Kit	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Herbalism_Kit|0	BONUS:VAR|ProfBonus_Herbalism_Kit|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Herbalism Kit|ProfBonus_Herbalism_Kit																														
Tool Proficiency ~ Navigator's Tools	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Navigators_Tools|0	BONUS:VAR|ProfBonus_Navigators_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Navigator's Tools|ProfBonus_Navigators_Tools																														
Tool Proficiency ~ Poisoner's Kit	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Poisoners_Kit|0	BONUS:VAR|ProfBonus_Poisoners_Kit|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Poisoner's Kit|ProfBonus_Poisoners_Kit																														
Tool Proficiency ~ Thieves' Tools	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Thieves_Tools|0	BONUS:VAR|ProfBonus_Thieves_Tools|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Thieves' Tools|ProfBonus_Thieves_Tools																														
Tool Proficiency ~ Vehicles (Land)	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Vehicles_Land|0	BONUS:VAR|ProfBonus_Vehicles_Land|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Vehicles (Land)|ProfBonus_Vehicles_Land																														
Tool Proficiency ~ Vehicles (Water)	CATEGORY:Internal	TYPE:Tool Proficiency		DEFINE:ProfBonus_Vehicles_Water|0	BONUS:VAR|ProfBonus_Vehicles_Water|Proficiency_Bonus	ASPECT:SkillBonus|+%1 Vehicles (Water)|ProfBonus_Vehicles_Water																														
																																				
###Block: Rules																																				
# Ability Name						Category of Ability		Type		Description								Stackable?	Multiple?	Choose		Bonus Ability Pool				Modify VAR										
Bypass Background Restrictions	CATEGORY:Special Ability	TYPE:Rules	DESC:Allows the PC to take any Background desired.																																	
# Add additional Background Personality Trait	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional background personality trait	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|POOL_Background_PersonalityTrait|1	COST:0																												
# Add additional Background Ideal	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional background ideal	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|POOL_Background_Ideal|1	COST:0																												
# Add additional Background Bond	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional background bond	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|POOL_Background_Bond|1	COST:0																												
# Add additional Background Flaw	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional background flaw	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|POOL_Background_Flaw|1	COST:0																												
																																				
Add additional Skill Proficiency	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional Skill Proficiency	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Skill Proficiency|1	COST:0																												
Add additional Weapon Proficiency	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional Weapon Proficiency	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Weapon Proficiency|1	COST:0																												
Add additional Tool Proficiency	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional Tool Proficiency	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Tools Proficiency|1	COST:0																												
Add additional Language	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional Language	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|POOL_Language|1	COST:0																												
Add additional Feat	CATEGORY:Special Ability	TYPE:Rules	DESC:Adds additional Feat	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Feat|1	COST:0																												
																																				
# Ability Name		Category of Ability		Type		Modify VAR																														
Add Athletics +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Athletics|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Acrobatics +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Acrobatics|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Sleight of Hand +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Sleight_of_Hand|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Stealth +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Stealth|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Arcana +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Arcana|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add History +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_History|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Investigation +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Investigation|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Nature +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Nature|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Religion +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Religion|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Animal Handling +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Animal_Handling|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Insight +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Insight|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Medicine +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Medicine|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Perception +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Perception|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Survival +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Survival|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Deception +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Deception|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Intimidation +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Intimidation|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Performance +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Performance|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
Add Persuasion +1	CATEGORY:Special Ability	TYPE:Rules	BONUS:VAR|GMAward_Persuasion|1	CHOOSE:NOCHOICE	MULT:YES	STACK:YES	DESC:Adds +1 to the listed skill.	COST:0																												
																																				
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Athletics|GMAward_Athletics	DEFINE:GMAward_Athletics|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Acrobatics|GMAward_Acrobatics	DEFINE:GMAward_Acrobatics|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Sleight_of_Hand|GMAward_Sleight_of_Hand	DEFINE:GMAward_Sleight_of_Hand|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Stealth|GMAward_Stealth	DEFINE:GMAward_Stealth|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Arcana|GMAward_Arcana	DEFINE:GMAward_Arcana|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_History|GMAward_History	DEFINE:GMAward_History|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Investigation|GMAward_Investigation	DEFINE:GMAward_Investigation|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Nature|GMAward_Nature	DEFINE:GMAward_Nature|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Religion|GMAward_Religion	DEFINE:GMAward_Religion|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Animal_Handling|GMAward_Animal_Handling	DEFINE:GMAward_Animal_Handling|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Insight|GMAward_Insight	DEFINE:GMAward_Insight|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Medicine|GMAward_Medicine	DEFINE:GMAward_Medicine|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Perception|GMAward_Perception	DEFINE:GMAward_Perception|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Survival|GMAward_Survival	DEFINE:GMAward_Survival|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Deception|GMAward_Deception	DEFINE:GMAward_Deception|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Intimidation|GMAward_Intimidation	DEFINE:GMAward_Intimidation|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Performance|GMAward_Performance	DEFINE:GMAward_Performance|0																																		
CATEGORY=Internal|Default.MOD	BONUS:VAR|SkillProf_Persuasion|GMAward_Persuasion	DEFINE:GMAward_Persuasion|0																																		
																																				
# Extra Attack Limit																																				
Extra Attack ~ 1	CATEGORY:Internal	DEFINE:ExtraAttacks|0	BONUS:COMBAT|ATTACKS|ExtraAttacks	BONUS:VAR|ExtraAttacks|1																																
Extra Attack ~ 2	CATEGORY:Internal		BONUS:VAR|ExtraAttacks|1																																	
Extra Attack ~ 3	CATEGORY:Internal		BONUS:VAR|ExtraAttacks|1																																	
																																				
#Block:Wild Companion																																				
Wild Companion	CATEGORY:Internal	ABILITY:Internal|AUTOMATIC|Wild Companion (Base)|Wild Companion																																		
Wild Companion (Base)	CATEGORY:Internal								DEFINE:WildCompanionLVL|0	DEFINE:WildCompanionDetermination|0													FOLLOWERS:Wild Companion|1	ABILITY:Wild Companion Selection|AUTOMATIC|Standard Selection ~ Wild Companion|!PREABILITY:1,CATEGORY=Internal,TYPE.WildCompanionAlternate								SOURCEPAGE:PHB				
Wild Companion	CATEGORY:Internal	TYPE:WildCompanionSelection	VISIBLE:NO																													SOURCEPAGE:PHB				
Expanded Selection	CATEGORY:Internal	TYPE:WildCompanionSelection.WildCompanionAlternate		KEY:Expanded Selection ~ Wild Companion																			COST:0	COMPANIONLIST:Wild Companion|ANY								SOURCEPAGE:PHB				
Wild Companion (Default)	CATEGORY:Internal	TYPE:WildCompanionSelection.WildCompanionBase		KEY:Standard Selection ~ Wild Companion	!PREABILITY:1,CATEGORY=Internal,TYPE.WildCompanionAlternate																		COST:0	COMPANIONLIST:Wild Companion|RACESUBTYPE=Animal								SOURCEPAGE:PHB				
